T001;Giường;;;;;;;;;;;;;;;;;
T002;Giường;;;;;;;;;;;;;;;;;
T003;Ghế;;;;;;;;;;;;;;;;;
T004;Giường;;;;;;;;;;;;;;;;;
T005;Giường;;;;;;;;;;;;;;;;;
T006;Giường;;;;;;;;;;;;;;;;;
T007;Ghế;;;;;;;;;;;;;;;;;
T008;Ghế;;;;;;;;;;;;;;;;;
T009;Limousine;;;;;;;;;;;;;;;;;
T010;Limousine;;;;;;;;;;;;;;;;;
T011;Limousine;;;;;;;;;;;;;;;;;
T012;Limousine;;;;;;;;;;;;;;;;;
T013;Limousine;;;;;;;;;;;;;;;;;
T014;Limousine;;;;;;;;;;;;;;;;;
T015;Giường;;;;;;;;;;;;;;;;;
T016;Giường;;;;;;;;;;;;;;;;;
T017;Giường;;;;;;;;;;;;;;;;;
T018;Giường;;;;;;;;;;;;;;;;;
T019;Giường;;;;;;;;;;;;;;;;;
T020;Giường;;;;;;;;;;;;;;;;;
T021;Limousine;;;;;;;;;;;;;;;;;
T022;Limousine;;;;;;;;;;;;;;;;;
T023;Ghế;;;;;;;;;;;;;;;;;
T024;Giường;;;;;;;;;;;;;;;;;
T025;Giường;;;;;;;;;;;;;;;;;
T026;Giường;;;;;;;;;;;;;;;;;
T027;Giường;;;;;;;;;;;;;;;;;
T028;Giường;;;;;;;;;;;;;;;;;
T029;Giường;;;;;;;;;;;;;;;;;
T030;Giường;;;;;;;;;;;;;;;;;
T031;Ghế;;;;;;;;;;;;;;;;;
T032;Ghế;;;;;;;;;;;;;;;;;
T033;Giường;;;;;;;;;;;;;;;;;
T034;Giường;;;;;;;;;;;;;;;;;
T035;Giường;;;;;;;;;;;;;;;;;
T036;Ghế;;;;;;;;;;;;;;;;;
T037;Limousine;;;;;;;;;;;;;;;;;
T038;Ghế;;;;;;;;;;;;;;;;;
T039;Limousine;;;;;;;;;;;;;;;;;
T040;Giường;;;;;;;;;;;;;;;;;
T041;Giường;;;;;;;;;;;;;;;;;
T042;Ghế;;;;;;;;;;;;;;;;;
T043;Giường;;;;;;;;;;;;;;;;;
T044;Giường;;;;;;;;;;;;;;;;;
T045;Giường;;;;;;;;;;;;;;;;;
T046;Giường;;;;;;;;;;;;;;;;;
T047;Ghế;;;;;;;;;;;;;;;;;
T048;Limousine;;;;;;;;;;;;;;;;;
T049;Giường;;;;;;;;;;;;;;;;;
T050;Limousine;;;;;;;;;;;;;;;;;
T051;Limousine;;;;;;;;;;;;;;;;;
T052;Giường;;;;;;;;;;;;;;;;;
T053;Giường;;;;;;;;;;;;;;;;;
T054;Giường;;;;;;;;;;;;;;;;;
T055;Limousine;;;;;;;;;;;;;;;;;
T056;Giường;;;;;;;;;;;;;;;;;
T057;Giường;;;;;;;;;;;;;;;;;
T058;Giường;;;;;;;;;;;;;;;;;
T059;Giường;;;;;;;;;;;;;;;;;
T060;Giường;;;;;;;;;;;;;;;;;
T061;Giường;;;;;;;;;;;;;;;;;
T062;Giường;;;;;;;;;;;;;;;;;
T063;Giường;;;;;;;;;;;;;;;;;
T064;Giường;;;;;;;;;;;;;;;;;
T065;Giường;;;;;;;;;;;;;;;;;
T066;Giường;;;;;;;;;;;;;;;;;
T067;Giường;;;;;;;;;;;;;;;;;
T068;Giường;;;;;;;;;;;;;;;;;
T069;Giường;;;;;;;;;;;;;;;;;
T070;Limousine;;;;;;;;;;;;;;;;;
T071;Giường;;;;;;;;;;;;;;;;;
T072;Giường;;;;;;;;;;;;;;;;;
T073;Giường;;;;;;;;;;;;;;;;;
T074;Giường;;;;;;;;;;;;;;;;;
T075;Ghế;;;;;;;;;;;;;;;;;
T076;Limousine;;;;;;;;;;;;;;;;;
T077;Ghế;;;;;;;;;;;;;;;;;
T078;Giường;;;;;;;;;;;;;;;;;
T079;Giường;;;;;;;;;;;;;;;;;
T080;Giường;;;;;;;;;;;;;;;;;
T081;Giường;;;;;;;;;;;;;;;;;
T082;Giường;;;;;;;;;;;;;;;;;
T083;Giường;;;;;;;;;;;;;;;;;
T084;Giường;;;;;;;;;;;;;;;;;
T085;Ghế;;;;;;;;;;;;;;;;;
